,version,social,economic,technical
0,augmecon_social_eps19,671.9538133022385,3218.988619199184,255.9838726240465
1,augmecon_social_eps39,656.5958617945445,4041.849325355151,235.94112091722624
2,augmecon_social_eps41,668.3055325189679,3212.560874350215,235.9411209172253
3,augmecon_social_eps49,673.6430052517345,4036.7731450209,225.91974506381447
4,augmecon_social_eps50,673.5470325688797,4037.866526071702,225.91974503472665
5,augmecon_social_eps51,666.7324467555181,3623.8023823215567,225.91974506381518
6,augmecon_social_eps52,685.9612650653819,3207.692979777902,225.91974506381607
7,augmecon_social_eps63,706.8012869161838,3201.3224429941874,215.89836921040458
8,augmecon_social_eps74,730.559976635166,3197.9660103328647,205.87699335699304
9,augmecon_social_eps85,772.2145280122439,3192.0885716585344,195.85561750358556
